Field,Well,Estatus,Pera/Macropera,Bateria,Lat,Long,Macropera,(DD/MM/AAAA),PT,Tipo
Ogarrio,Ogarrio-1227,CERRADO CON OPORTUNIDADES,Ogarrio-1526,Ogarrio 5,#N/A,#N/A,Ogarrio-1227,08/03/1979,2785,D
Ogarrio,Ogarrio-1257,CERRADO CON OPORTUNIDADES,Ogarrio-1273,Ogarrio 2,18.03705556,-93.96180556,Ogarrio-1273,10/11/2011,2529,D
Ogarrio,Ogarrio-1267,CERRADO CON OPORTUNIDADES,N.A.,Ogarrio 5,18.02372222,-93.95325,Ogarrio-1267,10/09/1976,3095,D
Ogarrio,Ogarrio-1432,CERRADO CON OPORTUNIDADES,Ogarrio-813,Ogarrio 5,17.99863889,-93.93372222,Ogarrio-813,05/08/2004,2735,D
Ogarrio,Ogarrio-1452,CERRADO CON OPORTUNIDADES,Ogarrio-813,Ogarrio 5,17.99880556,-93.93394444,Ogarrio-813,18/09/2004,2803.3,D
Ogarrio,Ogarrio-1453,CERRADO CON OPORTUNIDADES,Ogarrio-824,Ogarrio 5,17.99491667,-93.92761111,Ogarrio-824,26/10/2007,2852,D
Ogarrio,Ogarrio-1517,PRODUCTOR ,Ogarrio-707,Ogarrio 5,17.97702778,-93.91333333,Ogarrio-707,01/12/2013,3535,D
Ogarrio,Ogarrio-803,CERRADO CON OPORTUNIDADES,Ogarrio-803,Ogarrio 5,18.00405556,-93.93713889,Ogarrio-803,22/06/1972,3371,V
Ogarrio,Ogarrio-805,CERRADO CON OPORTUNIDADES,Ogarrio-1483,Ogarrio 5,17.99852778,-93.94047222,Ogarrio-805,03/04/1973,3377,V
Ogarrio,Ogarrio-911,PRODUCTOR ,Ogarrio-829,Ogarrio 5,17.99122222,-93.92722222,Ogarrio-829,27/03/2013,2732,D
Ogarrio,Ogarrio-975,CERRADO CON OPORTUNIDADES,N.A.,Ogarrio 5,17.98411111,-93.92741667,Ogarrio-975,11/10/1974,3280,D
Ogarrio,Ogarrio-993,CERRADO CON OPORTUNIDADES,N.A.,Ogarrio 5,17.98588889,-93.93058333,Ogarrio-993,31/10/1974,3297,D
Ogarrio,Ogarrio-1476,PRODUCTOR ,Ogarrio-803,Ogarrio 5,18.00388889,-93.93725,Ogarrio-803,17/07/2008,2774,D
Ogarrio,Ogarrio-1602,PRODUCTOR ,Ogarrio-811,Ogarrio 5,18.00711111,-93.93747222,Ogarrio-811,31/05/2014,2335,D
Ogarrio,Ogarrio-45,CERRADO CON OPORTUNIDADES,Ogarrio-45,Ogarrio 2,18.02705556,-93.92061111,Ogarrio-45,07/09/1960,2075,V
Ogarrio,Ogarrio-1205,PRODUCTOR ,Ogarrio-1490,Ogarrio 5,18.02211111,-93.95688889,Ogarrio-1205,07/07/2005,3043,D
Ogarrio,Ogarrio-1207,PRODUCTOR ,Ogarrio-1273,Ogarrio 2,18.03702778,-93.96141667,Ogarrio-1273,08/08/2012,2527,D
Ogarrio,Ogarrio-1215,PRODUCTOR ,Ogarrio-1235,Ogarrio 2,18.13272222,-93.95747222,Ogarrio-1235,22/02/2007,2605,D
Ogarrio,Ogarrio-1217,CERRADO CON OPORTUNIDADES,Ogarrio-1235,Ogarrio 2,18.03269444,-93.95777778,Ogarrio-1235,09/08/2005,2634,D
Ogarrio,Ogarrio-1233,CERRADO CON OPORTUNIDADES,Ogarrio-1235,Ogarrio 2,#N/A,#N/A,Ogarrio-1233,19/04/2007,2547,D
Ogarrio,Ogarrio-1235,PRODUCTOR ,Ogarrio-1235,Ogarrio 2,18.03275,-93.95791667,Ogarrio-1235,13/07/2005,2633,D
Ogarrio,Ogarrio-1237,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-1235,Ogarrio 2,18.03283333,-93.95736111,Ogarrio-1235,24/06/2007,2685,D
Ogarrio,Ogarrio-1239,CERRADO CON OPORTUNIDADES,Ogarrio-1235,Ogarrio 2,18.03266667,-93.95777778,Ogarrio-1235,11/05/2008,2611,D
Ogarrio,Ogarrio-1253,PRODUCTOR ,Ogarrio-1235,Ogarrio 2,18.03272222,-93.95733333,Ogarrio-1235,15/09/2006,2627,D
Ogarrio,Ogarrio-1255,CERRADO CON OPORTUNIDADES,Ogarrio-1273,Ogarrio 2,18.037,-93.96138889,Ogarrio-1273,10/11/2011,2637,D
Ogarrio,Ogarrio-1269,PRODUCTOR ,Ogarrio-1269,Ogarrio 5,18.0185,-93.95036111,Ogarrio-1269,21/05/1977,2900,D
Ogarrio,Ogarrio-1273,CERRADO CON OPORTUNIDADES,Ogarrio-1273,Ogarrio 2,18.03711111,-93.96197222,Ogarrio-1273,25/04/2011,2548,D
Ogarrio,Ogarrio-1275,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-1273,Ogarrio 2,18.03686111,-93.96136111,Ogarrio-1273,04/05/2012,2595,D
Ogarrio,Ogarrio-1279,PRODUCTOR ,Ogarrio-1273,Ogarrio 2,18.037,-93.96138889,Ogarrio-1273,10/03/2013,2505,D
Ogarrio,Ogarrio-1283,PRODUCTOR ,Ogarrio-1235,Ogarrio 2,18.03272222,-93.95805556,Ogarrio-1235,17/06/2013,2696,D
Ogarrio,Ogarrio-1293,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-701,Ogarrio 2,18.04152778,-93.95594444,Ogarrio-1293,21/11/2007,2541,D
Ogarrio,Ogarrio-1295,CERRADO CON OPORTUNIDADES,Ogarrio-1273,Ogarrio 2,18.03688889,-93.9615,Ogarrio-1273,05/12/2011,2702.3,D
Ogarrio,Ogarrio-1303,CERRADO CON PROGRAMA DE REPARACION,Ogarrio-1304,Ogarrio 5,18.02066667,-93.95377778,Ogarrio-1303,02/04/2008,3035,D
Ogarrio,Ogarrio-1304,PRODUCTOR ,Ogarrio-1304,Ogarrio 5,18.02052778,-93.95361111,Ogarrio-1303,01/03/2006,3135,D
